claim_id,claim_date,claim_year,claim_month,insurer,state,vehicle_type,vehicle_age_years,policy_age_months,incident_type,garage_type,claim_amount_inr,claims_last_12m,days_to_report,surveyor_flag,india_cpi,india_gdp_growth,fraud_flag,anomaly_score,anomaly_flag,risk_level,ai_insight,ai_analysis_requested
CLM-000001,01-01-2015,2015,1,United India Insurance,Andhra Pradesh,Two-Wheeler,0,11,Collision,Network Garage,159965.85,0,4,1,4.91,8,0,0.144,0,Low Risk,AI analysis not requested.,False
CLM-000002,01-01-2015,2015,1,New India Assurance,Uttar Pradesh,Two-Wheeler,1,50,Collision,Non-Network Garage,73119.19,0,12,0,4.91,8,0,0.1546,0,Low Risk,AI analysis not requested.,False
CLM-000003,02-01-2015,2015,1,Tata AIG,Karnataka,Two-Wheeler,13,3,Natural Disaster,Non-Network Garage,65555.55,1,3,0,4.91,8,0,0.1333,0,Low Risk,AI analysis not requested.,False
CLM-000004,02-01-2015,2015,1,New India Assurance,Maharashtra,Private Car,5,4,Collision,Non-Network Garage,153417.83,1,5,1,4.91,8,0,0.1628,0,Low Risk,AI analysis not requested.,False
CLM-000005,02-01-2015,2015,1,Bajaj Allianz,Gujarat,Two-Wheeler,0,40,Collision,Network Garage,67745.19,0,0,0,4.91,8,0,0.1487,0,Low Risk,AI analysis not requested.,False
CLM-000006,02-01-2015,2015,1,New India Assurance,Madhya Pradesh,Private Car,13,56,Collision,Non-Network Garage,62153.06,0,16,0,4.91,8,0,0.1633,0,Low Risk,AI analysis not requested.,False
CLM-000007,02-01-2015,2015,1,Reliance General,Haryana,Private Car,9,34,Natural Disaster,Network Garage,70218.81,1,4,0,4.91,8,0,0.1349,0,Low Risk,AI analysis not requested.,False
CLM-000008,03-01-2015,2015,1,National Insurance,Madhya Pradesh,Two-Wheeler,2,35,Collision,Network Garage,32326.67,0,6,0,4.91,8,0,0.1029,0,Low Risk,AI analysis not requested.,False
CLM-000009,03-01-2015,2015,1,National Insurance,Karnataka,Private Car,7,14,Theft,Network Garage,42862.41,0,4,0,4.91,8,0,0.1638,0,Low Risk,AI analysis not requested.,False
CLM-000010,03-01-2015,2015,1,ICICI Lombard,Uttar Pradesh,Two-Wheeler,4,53,Collision,Non-Network Garage,73136.3,0,0,0,4.91,8,0,0.1119,0,Low Risk,AI analysis not requested.,False
CLM-000011,03-01-2015,2015,1,New India Assurance,Madhya Pradesh,Commercial Vehicle,1,42,Fire,Network Garage,203467.22,2,6,1,4.91,8,1,0.15,0,Low Risk,AI analysis not requested.,False
